start_timestamp,end_timestamp,user_id,duration,start_time
1364853045,1364856586,u0,3541,2013-04-01 21:50:45
1364856827,1364857200,u0,373,2013-04-01 22:53:47
1364857429,1364859195,u0,1766,2013-04-01 23:03:49
1364869502,1364869931,u0,429,2013-04-02 02:25:02
1364871134,1364871195,u0,61,2013-04-02 02:52:14
1364872158,1364872340,u0,182,2013-04-02 03:09:18
1364872821,1364872912,u0,91,2013-04-02 03:20:21
1364874867,1364875028,u0,161,2013-04-02 03:54:27
1364875269,1364875390,u0,121,2013-04-02 04:01:09
1364876122,1364876222,u0,100,2013-04-02 04:15:22
1364879862,1364879922,u0,60,2013-04-02 05:17:42
1364901296,1364901356,u0,60,2013-04-02 11:14:56
1364914598,1364914648,u0,50,2013-04-02 14:56:38
1364915146,1364918060,u0,2914,2013-04-02 15:05:46
1364919503,1364919695,u0,192,2013-04-02 16:18:23
1364919915,1364920076,u0,161,2013-04-02 16:25:15
1364920117,1364920349,u0,232,2013-04-02 16:28:37
1364920829,1364920929,u0,100,2013-04-02 16:40:29
1364923346,1364923759,u0,413,2013-04-02 17:22:26
1364924010,1364924918,u0,908,2013-04-02 17:33:30
1364925610,1364931814,u0,6204,2013-04-02 18:00:10
1364932034,1364932468,u0,434,2013-04-02 19:47:14
1364932728,1364934432,u0,1704,2013-04-02 19:58:48
1364934703,1364935470,u0,767,2013-04-02 20:31:43
1364935691,1364936296,u0,605,2013-04-02 20:48:11
1364937028,1364937250,u0,222,2013-04-02 21:10:28
1364937500,1364937621,u0,121,2013-04-02 21:18:20
1364937892,1364938840,u0,948,2013-04-02 21:24:52
1364939071,1364941058,u0,1987,2013-04-02 21:44:31
1364941288,1364946856,u0,5568,2013-04-02 22:21:28
1364947117,1364948344,u0,1227,2013-04-02 23:58:37
1364949497,1364949628,u0,131,2013-04-03 00:38:17
1364951813,1364951884,u0,71,2013-04-03 01:16:53
1364952826,1364952967,u0,141,2013-04-03 01:33:46
1364953208,1364953248,u0,40,2013-04-03 01:40:08
1364953719,1364953891,u0,172,2013-04-03 01:48:39
1364954131,1364954333,u0,202,2013-04-03 01:55:31
1364954824,1364956216,u0,1392,2013-04-03 02:07:04
1364956416,1364956699,u0,283,2013-04-03 02:33:36
1364957139,1364957724,u0,585,2013-04-03 02:45:39
1364957975,1364958147,u0,172,2013-04-03 02:59:35
1364958177,1364958318,u0,141,2013-04-03 03:02:57
1364958779,1364958890,u0,111,2013-04-03 03:12:59
1364959120,1364959221,u0,101,2013-04-03 03:18:40
1364959441,1364959542,u0,101,2013-04-03 03:24:01
1364986971,1364987051,u0,80,2013-04-03 11:02:51
1365086410,1365086481,u0,71,2013-04-04 14:40:10
1365087693,1365090790,u0,3097,2013-04-04 15:01:33
1365090800,1365090880,u0,80,2013-04-04 15:53:20
1365092293,1365092789,u0,496,2013-04-04 16:18:13
1365098532,1365101871,u0,3339,2013-04-04 18:02:12
1365102342,1365102765,u0,423,2013-04-04 19:05:42
1365105872,1365106346,u0,474,2013-04-04 20:04:32
1365106366,1365107617,u0,1251,2013-04-04 20:12:46
1365107617,1365108484,u0,867,2013-04-04 20:33:37
1365108684,1365111619,u0,2935,2013-04-04 20:51:24
