user_id,start_time,duration
u0,2013-04-03 07:00:00,0
u0,2013-04-03 08:00:00,0
u0,2013-04-03 09:00:00,0
u0,2013-04-03 10:00:00,0
u0,2013-04-03 11:00:00,80
u0,2013-04-03 12:00:00,0
u0,2013-04-03 13:00:00,0
u0,2013-04-03 14:00:00,0
u0,2013-04-03 15:00:00,0
u0,2013-04-03 16:00:00,0
u0,2013-04-03 17:00:00,0
u0,2013-04-03 18:00:00,0
u0,2013-04-03 19:00:00,0
u0,2013-04-03 20:00:00,0
u0,2013-04-03 21:00:00,0
u0,2013-04-03 22:00:00,0
u0,2013-04-03 23:00:00,0
u0,2013-04-04 00:00:00,0
u0,2013-04-04 01:00:00,0
u0,2013-04-04 02:00:00,0
u0,2013-04-04 03:00:00,0
u0,2013-04-04 04:00:00,0
u0,2013-04-04 05:00:00,0
u0,2013-04-04 06:00:00,0
u0,2013-04-04 07:00:00,0
u0,2013-04-04 08:00:00,0
u0,2013-04-04 09:00:00,0
u0,2013-04-04 10:00:00,0
u0,2013-04-04 11:00:00,0
u0,2013-04-04 12:00:00,0
u0,2013-04-04 13:00:00,0
u0,2013-04-04 14:00:00,71
u0,2013-04-04 15:00:00,3177
u0,2013-04-04 16:00:00,496
u0,2013-04-04 17:00:00,0
u0,2013-04-04 18:00:00,3339
u0,2013-04-04 19:00:00,423
u0,2013-04-04 20:00:00,5527
u0,2013-04-04 21:00:00,1764
u0,2013-04-04 22:00:00,3357
u0,2013-04-04 23:00:00,0
u0,2013-04-05 00:00:00,3470
u0,2013-04-05 01:00:00,807
u0,2013-04-05 02:00:00,745
u0,2013-04-05 03:00:00,1705
u0,2013-04-05 04:00:00,252
u0,2013-04-05 05:00:00,71
u0,2013-04-05 06:00:00,0
u0,2013-04-05 07:00:00,0
u0,2013-04-05 08:00:00,0
u0,2013-04-05 09:00:00,0
u0,2013-04-05 10:00:00,0
u0,2013-04-05 11:00:00,0
u0,2013-04-05 12:00:00,0
u0,2013-04-05 13:00:00,0
u0,2013-04-05 14:00:00,3545
u0,2013-04-05 15:00:00,3844
u0,2013-04-05 16:00:00,211
u0,2013-04-05 17:00:00,70
u0,2013-04-05 18:00:00,0
u0,2013-04-05 19:00:00,0
u0,2013-04-05 20:00:00,0
u0,2013-04-05 21:00:00,0
u0,2013-04-05 22:00:00,0
u0,2013-04-05 23:00:00,0
u0,2013-04-06 00:00:00,0
u0,2013-04-06 01:00:00,0
u0,2013-04-06 02:00:00,0
u0,2013-04-06 03:00:00,231
u0,2013-04-06 04:00:00,5073
u0,2013-04-06 05:00:00,3081
u0,2013-04-06 06:00:00,0
u0,2013-04-06 07:00:00,0
u0,2013-04-06 08:00:00,0
u0,2013-04-06 09:00:00,0
u0,2013-04-06 10:00:00,0
u0,2013-04-06 11:00:00,0
u0,2013-04-06 12:00:00,0
u0,2013-04-06 13:00:00,0
u0,2013-04-06 14:00:00,0
u0,2013-04-06 15:00:00,0
u0,2013-04-06 16:00:00,0
u0,2013-04-06 17:00:00,2680
u0,2013-04-06 18:00:00,3225
u0,2013-04-06 19:00:00,2260
u0,2013-04-06 20:00:00,1383
u0,2013-04-06 21:00:00,3476
u0,2013-04-06 22:00:00,2843
u0,2013-04-06 23:00:00,1181
u0,2013-04-07 00:00:00,756
u0,2013-04-07 01:00:00,4298
u0,2013-04-07 02:00:00,798
u0,2013-04-07 03:00:00,936
u0,2013-04-07 04:00:00,1683
u0,2013-04-07 05:00:00,0
u0,2013-04-07 06:00:00,0
u0,2013-04-07 07:00:00,0
u0,2013-04-07 08:00:00,0
u0,2013-04-07 09:00:00,0
u0,2013-04-07 10:00:00,0
u0,2013-04-07 11:00:00,0
u0,2013-04-07 12:00:00,0
u0,2013-04-07 13:00:00,0
u0,2013-04-07 14:00:00,0
u0,2013-04-07 15:00:00,0
u0,2013-04-07 16:00:00,71
u0,2013-04-07 17:00:00,0
u0,2013-04-07 18:00:00,0
u0,2013-04-07 19:00:00,0
